train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.58,0.09,0.5,0.6768453278962303,115.06370574235916,0.07,0.65,0.11,0.53,0.6653904104232788,16.63476026058197,1712440903,,True,5,99afb98d,2024-04-07_00-01-43,285.89859104156494,1435.594733953476,21796,AT-MB-PC-E13,127.0.0.1,1435.594733953476,5,64,10,0.5,1e-05,99afb98d
0.08,0.62,0.09,0.5,0.6303646823939155,107.16199600696564,0.07,0.71,0.1,0.5,0.5625632739067078,14.064081847667694,1712440365,,True,5,c46cc5c4,2024-04-06_23-52-45,176.32652878761292,892.3867778778076,53036,AT-MB-PC-E13,127.0.0.1,892.3867778778076,5,256,6,0.5,1e-05,c46cc5c4
0.08,0.99,0.99,1.0,0.019831673240782145,3.3713844509329647,0.07,0.93,0.42,0.8,0.42424105703830717,10.60602642595768,1712457737,,True,100,a720ca70,2024-04-07_04-42-17,173.95945119857788,17371.75235748291,53036,AT-MB-PC-E13,127.0.0.1,17371.75235748291,100,128,6,0.0,0.001,a720ca70
0.08,0.96,0.82,0.97,0.0937791549217175,15.942456336691976,0.07,0.94,0.43,0.82,0.24642569988965987,6.160642497241497,1712457988,,True,100,00ffb5eb,2024-04-07_04-46-28,176.9141492843628,17433.447455883026,46092,AT-MB-PC-E13,127.0.0.1,17433.447455883026,100,256,6,0.2,0.001,00ffb5eb
0.08,0.93,0.37,0.81,0.20414965003728866,34.70544050633907,0.07,0.93,0.25,0.7,0.28401865005493165,7.100466251373291,1712442289,,True,15,140f021d,2024-04-07_00-24-49,91.68315529823303,1386.2749557495117,21796,AT-MB-PC-E13,127.0.0.1,1386.2749557495117,15,64,3,0.0,0.0001,140f021d
0.08,0.92,0.17,0.61,0.2795264696373659,47.5194998383522,0.07,0.92,0.2,0.63,0.26217195987701414,6.554298996925354,1712442753,,True,5,868367c7,2024-04-07_00-32-33,92.57215118408203,463.986722946167,21796,AT-MB-PC-E13,127.0.0.1,463.986722946167,5,64,3,0.0,0.0001,868367c7
0.08,0.93,0.41,0.82,0.1939843768144355,32.97734405845404,0.07,0.92,0.32,0.73,0.2634207582473755,6.585518956184387,1712444138,,True,15,bfd9b3ed,2024-04-07_00-55-38,93.06395149230957,1385.11940407753,21796,AT-MB-PC-E13,127.0.0.1,1385.11940407753,15,64,3,0.0,0.001,bfd9b3ed
0.08,0.92,0.17,0.61,0.2792039666105719,47.464674323797226,0.07,0.92,0.21,0.63,0.26262881875038147,6.565720468759537,1712444603,,True,5,04dceee2,2024-04-07_01-03-23,91.72036051750183,464.7219326496124,21796,AT-MB-PC-E13,127.0.0.1,464.7219326496124,5,256,3,0.0,0.0001,04dceee2
0.08,0.99,0.98,1.0,0.032080827248008814,5.453740632161498,0.07,0.93,0.41,0.8,0.399959459900856,9.9989864975214,1712453823,,True,100,d7b74b88,2024-04-07_03-37-03,91.804128408432,9219.249219417572,21796,AT-MB-PC-E13,127.0.0.1,9219.249219417572,100,64,3,0.0,0.001,d7b74b88
0.08,0.92,0.17,0.6,0.2950764605227639,50.16299828886986,0.07,0.91,0.18,0.6,0.30675844073295594,7.668961018323898,1712446230,,True,5,24cd6b82,2024-04-07_01-30-30,173.26702523231506,873.5157244205475,54160,AT-MB-PC-E13,127.0.0.1,873.5157244205475,5,64,6,0.0,0.0001,24cd6b82
0.08,0.92,0.17,0.66,0.2629461669746567,44.70084838569164,0.07,0.92,0.16,0.62,0.2578596168756485,6.4464904218912125,1712447110,,True,5,0c89673f,2024-04-07_01-45-10,175.70418453216553,880.7026360034943,54160,AT-MB-PC-E13,127.0.0.1,880.7026360034943,5,256,6,0.5,0.001,0c89673f
0.08,0.99,0.99,1.0,0.018809843276326052,3.1976733569754288,0.07,0.93,0.41,0.8,0.43466153264045715,10.866538316011429,1712465752,,True,100,ecf888a4,2024-04-07_06-55-52,78.09026575088501,19284.097677707672,33616,AT-MB-PC-E13,127.0.0.1,19284.097677707672,100,256,6,0.0,0.001,ecf888a4
0.08,0.89,0.11,0.52,0.35237836662460775,59.90432232618332,0.07,0.9,0.11,0.53,0.33050421476364134,8.262605369091034,1712447995,,True,5,7532b67b,2024-04-07_01-59-55,176.42200875282288,884.738968372345,54160,AT-MB-PC-E13,127.0.0.1,884.738968372345,5,64,6,0.5,0.0001,7532b67b
0.08,0.99,0.97,1.0,0.033190219153595324,5.642337256111205,0.07,0.93,0.43,0.8,0.37065187573432923,9.26629689335823,1712457278,,True,100,8e65e97b,2024-04-07_04-34-38,92.13992929458618,9282.146470069885,54160,AT-MB-PC-E13,127.0.0.1,9282.146470069885,100,64,3,0.0,0.001,8e65e97b
0.08,0.91,0.13,0.57,0.3088352215640685,52.50198766589165,0.07,0.91,0.15,0.58,0.2991185790300369,7.477964475750923,1712454290,,True,5,52fde428,2024-04-07_03-44-50,92.20251870155334,466.82481050491333,21796,AT-MB-PC-E13,127.0.0.1,466.82481050491333,5,64,3,0.5,0.0001,52fde428
0.08,0.92,0.16,0.66,0.26338181425543394,44.77490842342377,0.07,0.92,0.14,0.59,0.2704936230182648,6.762340575456619,1712455172,,True,5,45928482,2024-04-07_03-59-32,175.80987238883972,882.2316670417786,21796,AT-MB-PC-E13,127.0.0.1,882.2316670417786,5,256,6,0.5,0.001,45928482
0.08,0.9,0.12,0.54,0.3399979802615502,57.79965664446354,0.07,0.91,0.13,0.55,0.33162877321243284,8.290719330310822,1712456600,,True,5,93e17b08,2024-04-07_04-23-20,282.9332973957062,1427.5885298252106,21796,AT-MB-PC-E13,127.0.0.1,1427.5885298252106,5,64,10,0.5,0.0001,93e17b08
0.08,0.94,0.42,0.83,0.19358400075751192,32.90928012877703,0.07,0.91,0.3,0.75,0.26963804006576536,6.7409510016441345,1712457988,,True,15,b26f5c55,2024-04-07_04-46-28,92.42013716697693,1387.5945541858673,21796,AT-MB-PC-E13,127.0.0.1,1387.5945541858673,15,128,3,0.0,0.001,b26f5c55
