train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss
0.08,0.94,0.57,0.9,0.15959102962823474,27.130475036799908,0.07,0.93,0.41,0.82,0.19709740161895753,4.927435040473938,0.08,0.93,0.47,0.82,0.20144375337629902,9.870743915438652
0.08,0.94,0.56,0.89,0.16076394880519193,27.32987129688263,0.07,0.93,0.41,0.81,0.19991035670042037,4.9977589175105095,0.08,0.93,0.46,0.83,0.20419086918843035,10.005352590233088
0.08,0.94,0.57,0.9,0.15686350887750877,26.666796509176493,0.07,0.94,0.42,0.82,0.18848753988742828,4.712188497185707,0.08,0.93,0.47,0.83,0.20009496093404536,9.804653085768223
0.08,0.94,0.58,0.9,0.15931293955620598,27.083199724555016,0.07,0.93,0.41,0.82,0.20052640795707702,5.013160198926926,0.08,0.93,0.47,0.83,0.20066474819061708,9.832572661340237
0.08,0.94,0.58,0.9,0.15475936615291763,26.309092245996,0.07,0.94,0.42,0.82,0.19466482549905778,4.866620637476444,0.08,0.93,0.48,0.84,0.19911264400092923,9.756519556045532
0.08,0.94,0.58,0.9,0.1546262924285496,26.28646971285343,0.07,0.94,0.43,0.83,0.1924301117658615,4.810752794146538,0.08,0.93,0.48,0.83,0.19915571671967602,9.758630119264126
0.08,0.94,0.59,0.91,0.152293113706743,25.889829330146313,0.07,0.93,0.41,0.82,0.19941901326179504,4.985475331544876,0.08,0.93,0.48,0.83,0.20018192502308865,9.808914326131344
0.08,0.95,0.61,0.91,0.1517493865069221,25.797395706176758,0.07,0.94,0.42,0.82,0.19851600527763366,4.962900131940842,0.08,0.93,0.49,0.83,0.19520365705295484,9.564979195594788
0.08,0.95,0.6,0.91,0.15076641041566344,25.630289770662785,0.07,0.93,0.43,0.83,0.19282687276601793,4.820671819150448,0.08,0.93,0.48,0.84,0.19652113075159033,9.629535406827927
0.08,0.94,0.6,0.91,0.15024727433919907,25.54203663766384,0.07,0.94,0.43,0.82,0.19534244298934936,4.883561074733734,0.08,0.93,0.49,0.83,0.1969236459354965,9.649258650839329
0.08,0.95,0.61,0.91,0.14774392269113484,25.116466857492924,0.07,0.94,0.42,0.83,0.1950592289865017,4.876480724662542,0.08,0.93,0.49,0.84,0.19974904948351335,9.787703424692154
0.08,0.95,0.62,0.91,0.14600427431218765,24.8207266330719,0.07,0.94,0.43,0.83,0.1951305702328682,4.878264255821705,0.08,0.93,0.48,0.83,0.19965789527917394,9.783236868679523
0.08,0.95,0.62,0.91,0.14684601969578687,24.963823348283768,0.07,0.93,0.42,0.82,0.19992209911346437,4.998052477836609,0.08,0.93,0.49,0.84,0.20320022866433982,9.95681120455265
0.08,0.95,0.63,0.92,0.1441349021213896,24.502933360636234,0.07,0.93,0.42,0.82,0.20262494385242463,5.0656235963106155,0.08,0.93,0.49,0.83,0.20135576764539798,9.8664326146245
0.08,0.95,0.64,0.92,0.1435802953208194,24.4086502045393,0.07,0.94,0.42,0.83,0.20315457567572592,5.078864391893148,0.08,0.93,0.49,0.84,0.19960020300076933,9.780409947037697
0.08,0.95,0.64,0.92,0.14228036993128412,24.1876628883183,0.07,0.94,0.43,0.83,0.1968226259946823,4.920565649867058,0.08,0.93,0.5,0.84,0.20597983592627,10.09301196038723
0.08,0.95,0.63,0.92,0.14252782827791047,24.229730807244778,0.07,0.94,0.43,0.82,0.20422928780317307,5.105732195079327,0.08,0.94,0.5,0.84,0.1995580228311675,9.778343118727207
0.08,0.95,0.64,0.92,0.14153113774955273,24.060293417423964,0.07,0.94,0.42,0.83,0.20480391949415208,5.120097987353802,0.08,0.93,0.5,0.84,0.1993636202295216,9.768817391246557
0.08,0.95,0.64,0.92,0.14502008254913723,24.65341403335333,0.07,0.93,0.42,0.83,0.20587030291557312,5.146757572889328,0.08,0.93,0.5,0.84,0.19890330062837017,9.746261730790138
0.08,0.95,0.65,0.93,0.1391783845556133,23.66032537445426,0.07,0.94,0.43,0.83,0.1976061123609543,4.940152809023857,0.08,0.93,0.5,0.84,0.19965058245829173,9.782878540456295
0.08,0.95,0.65,0.93,0.13937661603969687,23.694024726748466,0.07,0.94,0.44,0.83,0.20305257618427278,5.076314404606819,0.08,0.93,0.5,0.84,0.20275335272355954,9.934914283454418
0.08,0.95,0.65,0.92,0.13847519943819325,23.540783904492855,0.07,0.94,0.43,0.82,0.19873258531093596,4.968314632773399,0.08,0.93,0.5,0.84,0.20510365418633636,10.050079055130482
0.08,0.95,0.66,0.93,0.13775116831940762,23.417698614299297,0.07,0.94,0.42,0.82,0.20586904913187026,5.146726228296757,0.08,0.94,0.5,0.84,0.2026196370015339,9.928362213075161
