train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.62,0.57,0.57,0.57,0.66,0.7070068164783365,24.038231760263443,0.5,0.48,0.62,0.54,0.48,0.9822259902954101,4.911129951477051,1713178425,,True,5,c51db836,2024-04-15_12-53-45,98.63396430015564,508.121910572052,28072,AT-MB-PC-E13,127.0.0.1,508.121910572052,5,256,10,0.2,0.001,c51db836
0.5,0.45,0.57,0.5,0.52,0.8137172513148364,27.666386544704437,0.51,0.45,0.14,0.21,0.41,0.8476539731025696,4.238269865512848,1713178278,,True,5,7477b21d,2024-04-15_12-51-18,64.79654049873352,341.87535429000854,12148,AT-MB-PC-E13,127.0.0.1,341.87535429000854,5,128,6,0.5,1e-05,7477b21d
0.87,0.84,0.86,0.85,0.94,0.3031182635356398,10.306020960211754,0.67,0.7,0.54,0.61,0.72,1.0842388987541198,5.421194493770599,1713179759,,True,45,33e8b035,2024-04-15_13-15-59,33.32799935340881,1481.6482305526733,12148,AT-MB-PC-E13,127.0.0.1,1481.6482305526733,45,128,3,0.0,0.001,33e8b035
0.65,0.61,0.57,0.59,0.68,0.668412538135753,22.7260262966156,0.45,0.43,0.49,0.46,0.5,0.7743164777755738,3.8715823888778687,1713178933,,True,5,656bbc7a,2024-04-15_13-02-13,99.91191601753235,508.00837445259094,28072,AT-MB-PC-E13,127.0.0.1,508.00837445259094,5,128,10,0.2,0.0001,656bbc7a
0.5,0.47,0.89,0.61,0.58,1.0377450673019184,35.28333228826523,0.5,0.49,0.76,0.59,0.53,0.9579657554626465,4.789828777313232,1713179101,,True,5,29b2d994,2024-04-15_13-05-01,31.619973182678223,167.72851371765137,28072,AT-MB-PC-E13,127.0.0.1,167.72851371765137,5,128,3,0.2,1e-05,29b2d994
0.89,0.85,0.9,0.88,0.97,0.23750529131468603,8.075179904699326,0.72,0.74,0.62,0.68,0.78,0.6844324588775634,3.4221622943878174,1713185455,,True,100,b416d64a,2024-04-15_14-50-55,63.4009325504303,6353.330676794052,28072,AT-MB-PC-E13,127.0.0.1,6353.330676794052,100,256,6,0.0,0.0001,b416d64a
0.53,0.47,0.42,0.44,0.54,0.7334913401042714,24.938705563545227,0.49,0.48,1.0,0.65,0.59,0.8605251431465148,4.3026257157325745,1713181330,,True,15,dc830cab,2024-04-15_13-42-10,105.1533408164978,1570.3510415554047,12148,AT-MB-PC-E13,127.0.0.1,1570.3510415554047,15,64,10,0.5,1e-05,dc830cab
0.5,0.45,0.57,0.5,0.52,0.8137168971931233,27.666374504566193,0.51,0.45,0.14,0.21,0.41,0.847653579711914,4.23826789855957,1713181658,,True,5,f8b7a091,2024-04-15_13-47-38,63.864264488220215,328.3361849784851,12148,AT-MB-PC-E13,127.0.0.1,328.3361849784851,5,256,6,0.5,1e-05,f8b7a091
0.92,0.9,0.92,0.91,0.98,0.18645789841299548,6.339568546041846,0.71,0.71,0.67,0.69,0.78,0.8739995896816254,4.369997948408127,1713188017,,True,100,af9ecce6,2024-04-15_15-33-37,63.533297300338745,6357.886211156845,12148,AT-MB-PC-E13,127.0.0.1,6357.886211156845,100,128,6,0.0,0.001,af9ecce6
0.82,0.77,0.84,0.8,0.89,0.40416432303540845,13.741586983203888,0.68,0.63,0.78,0.7,0.74,0.698839521408081,3.4941976070404053,1713188318,,True,45,67be5c26,2024-04-15_15-38-38,62.304978132247925,2863.4754450321198,28072,AT-MB-PC-E13,127.0.0.1,2863.4754450321198,45,256,6,0.2,0.001,67be5c26
