train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.68,0.63,0.67,0.65,0.75,0.5993407421252307,20.377585232257843,0.55,0.57,0.24,0.33,0.64,0.9123738169670105,4.5618690848350525,1712795483,,True,5,0024fa79,2024-04-11_02-31-23,40.46643400192261,215.6409628391266,48628,AT-MB-PC-E13,127.0.0.1,215.6409628391266,5,256,10,0.2,0.001,0024fa79
0.54,0.48,0.51,0.5,0.55,0.7043387539246503,23.94751763343811,0.56,0.54,0.57,0.55,0.57,0.6938699841499328,3.4693499207496643,1712795474,,True,5,2bd634b2,2024-04-11_02-31-14,26.706359386444092,137.0706548690796,33668,AT-MB-PC-E13,127.0.0.1,137.0706548690796,5,128,6,0.5,1e-05,2bd634b2
0.97,0.97,0.96,0.96,1.0,0.08240565307000104,2.8017922043800354,0.7,0.67,0.72,0.69,0.78,1.1930334448814393,5.965167224407196,1712796836,,True,100,127402cf,2024-04-11_02-53-56,10.94789981842041,1361.4548053741455,33668,AT-MB-PC-E13,127.0.0.1,1361.4548053741455,100,128,3,0.0,0.001,127402cf
0.91,0.9,0.9,0.9,0.97,0.22086151820771835,7.509291619062424,0.72,0.69,0.75,0.72,0.81,0.701669043302536,3.50834521651268,1712799658,,True,100,43671eec,2024-04-11_03-40-58,42.08663320541382,4174.625418424606,48628,AT-MB-PC-E13,127.0.0.1,4174.625418424606,100,128,10,0.2,0.0001,43671eec
0.55,0.5,0.36,0.42,0.56,0.6874373590244967,23.372870206832886,0.57,0.55,0.53,0.54,0.59,0.6944466233253479,3.4722331166267395,1712795803,,True,5,8e52465c,2024-04-11_02-36-43,13.706205368041992,72.31197094917297,45772,AT-MB-PC-E13,127.0.0.1,72.31197094917297,5,128,3,0.2,1e-05,8e52465c
0.82,0.79,0.81,0.8,0.9,0.40396538070019555,13.734822943806648,0.64,0.61,0.67,0.64,0.69,0.7696991920471191,3.8484959602355957,1712796200,,True,15,b75df76e,2024-04-11_02-43-20,26.74232769012451,397.04889369010925,45772,AT-MB-PC-E13,127.0.0.1,397.04889369010925,15,256,6,0.0,0.0001,b75df76e
0.5,0.47,0.84,0.6,0.55,0.7415227679645314,25.211774110794067,0.54,0.52,0.67,0.58,0.51,0.7020944118499756,3.510472059249878,1712796420,,True,5,ebb206cf,2024-04-11_02-47-00,42.80496597290039,219.41751742362976,45772,AT-MB-PC-E13,127.0.0.1,219.41751742362976,5,64,10,0.5,1e-05,ebb206cf
0.54,0.48,0.51,0.5,0.55,0.7043400284122018,23.947560966014862,0.56,0.54,0.57,0.55,0.57,0.6938717603683472,3.469358801841736,1712796557,,True,5,b746c185,2024-04-11_02-49-17,26.28144121170044,136.9578206539154,45772,AT-MB-PC-E13,127.0.0.1,136.9578206539154,5,256,6,0.5,1e-05,b746c185
0.76,0.74,0.71,0.72,0.82,0.5384508309995427,18.30732825398445,0.59,0.62,0.36,0.46,0.6,0.9518531203269959,4.759265601634979,1712796693,,True,5,d99bf492,2024-04-11_02-51-33,26.54546618461609,136.17793345451355,45772,AT-MB-PC-E13,127.0.0.1,136.17793345451355,5,128,6,0.0,0.001,d99bf492
0.72,0.68,0.68,0.68,0.78,0.5782668143510818,19.661071687936783,0.52,0.5,0.82,0.62,0.62,1.1691161394119263,5.845580697059631,1712796829,,True,5,1a5fb72b,2024-04-11_02-53-49,25.93710207939148,136.076895236969,45772,AT-MB-PC-E13,127.0.0.1,136.076895236969,5,256,6,0.2,0.001,1a5fb72b
0.93,0.92,0.92,0.92,0.98,0.18173900860197403,6.179126292467117,0.7,0.69,0.67,0.68,0.78,0.7227012038230896,3.613506019115448,1712798183,,True,100,3f9fc085,2024-04-11_03-16-23,13.576804161071777,1353.7778022289276,45772,AT-MB-PC-E13,127.0.0.1,1353.7778022289276,100,64,3,0.0,0.0001,3f9fc085
