train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.58,0.53,0.54,0.53,0.61,0.7163781646419974,24.35685759782791,0.54,0.51,0.67,0.58,0.56,0.988703453540802,4.94351726770401,1712836840,,True,5,0c86ad12,2024-04-11_14-00-40,42.55531549453735,222.25640845298767,43848,AT-MB-PC-E13,127.0.0.1,222.25640845298767,5,256,10,0.5,0.001,0c86ad12
0.6,0.55,0.54,0.55,0.65,0.6659090203397414,22.64090669155121,0.64,0.59,0.75,0.66,0.69,0.669590163230896,3.34795081615448,1712837463,,True,15,7d71aa44,2024-04-11_14-11-03,38.6366982460022,622.0035939216614,43848,AT-MB-PC-E13,127.0.0.1,622.0035939216614,15,256,10,0.5,0.0001,7d71aa44
0.63,0.58,0.61,0.59,0.68,0.6827482405830833,23.21344017982483,0.53,0.53,0.11,0.18,0.5,1.0971378803253173,5.485689401626587,1712837342,,True,5,2716ef9c,2024-04-11_14-09-02,42.73728680610657,227.83515906333923,48540,AT-MB-PC-E13,127.0.0.1,227.83515906333923,5,256,10,0.2,0.001,2716ef9c
0.91,0.89,0.92,0.9,0.97,0.21704474201097207,7.379521228373051,0.74,0.74,0.69,0.71,0.79,0.7990881681442261,3.9954408407211304,1712838705,,True,100,206fb623,2024-04-11_14-31-45,13.35069465637207,1362.7599794864655,48540,AT-MB-PC-E13,127.0.0.1,1362.7599794864655,100,256,3,0.2,0.001,206fb623
0.66,0.61,0.63,0.62,0.7,0.75552577744512,25.68787643313408,0.5,0.44,0.17,0.24,0.49,1.0132701873779297,5.066350936889648,1712837547,,True,5,c1ba4040,2024-04-11_14-12-27,13.331213235855103,83.91128396987915,43848,AT-MB-PC-E13,127.0.0.1,83.91128396987915,5,256,3,0.2,0.001,c1ba4040
0.64,0.59,0.62,0.61,0.69,0.67132848851821,22.82516860961914,0.54,0.51,0.83,0.63,0.59,0.9701448917388916,4.850724458694458,1712837754,,True,5,1001b538,2024-04-11_14-15-54,41.06099009513855,207.7128129005432,43848,AT-MB-PC-E13,127.0.0.1,207.7128129005432,5,256,10,0.2,0.001,1001b538
0.73,0.7,0.7,0.7,0.8,0.5797448728014442,19.7113256752491,0.59,0.56,0.61,0.59,0.7,0.713982081413269,3.569910407066345,1712838198,,True,15,972d01ab,2024-04-11_14-23-18,38.8183228969574,599.6357522010803,2232,AT-MB-PC-E13,127.0.0.1,599.6357522010803,15,128,10,0.2,0.0001,972d01ab
0.73,0.69,0.7,0.69,0.81,0.5526555180549622,18.790287613868713,0.63,0.61,0.62,0.62,0.68,0.7704553365707397,3.8522766828536987,1712838358,,True,15,f6977f94,2024-04-11_14-25-58,38.92046570777893,603.1375994682312,43848,AT-MB-PC-E13,127.0.0.1,603.1375994682312,15,128,10,0.2,0.0001,f6977f94
0.83,0.8,0.82,0.81,0.92,0.36117518035804524,12.279956132173538,0.68,0.64,0.75,0.69,0.73,0.8084833800792695,4.042416900396347,1712839959,,True,45,eec1a794,2024-04-11_14-52-39,40.90588665008545,1761.5836248397827,2232,AT-MB-PC-E13,127.0.0.1,1761.5836248397827,45,128,10,0.2,0.0001,eec1a794
0.8,0.76,0.81,0.78,0.88,0.42703013122081757,14.519024461507797,0.7,0.63,0.9,0.74,0.71,0.692547619342804,3.4627380967140198,1712840139,,True,45,9e1ed8ba,2024-04-11_14-55-39,41.30274295806885,1781.102541923523,43848,AT-MB-PC-E13,127.0.0.1,1781.102541923523,45,128,10,0.2,0.001,9e1ed8ba
