train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss
0.81132,0.79185,0.78178,0.78678,0.88276,0.4292886086246547,14.595812693238258,0.6755,0.67692,0.61111,0.64234,0.71519,0.8877073287963867,4.438536643981934,0.63245,0.63433,0.57823,0.60498,0.70059,0.7787153661251068,7.787153661251068
0.77075,0.73131,0.76695,0.74871,0.85448,0.4775632865288678,16.237151741981506,0.51656,0.47368,0.125,0.1978,0.56294,1.6847779035568238,8.423889517784119,0.53311,0.55769,0.19728,0.29146,0.59368,1.4962726414203644,14.962726414203644
0.80189,0.76626,0.79873,0.78216,0.88556,0.4199097866521162,14.276932746171951,0.61589,0.65909,0.40278,0.5,0.66438,0.8994624495506287,4.497312247753143,0.56623,0.59756,0.33333,0.42795,0.60983,0.9629731595516204,9.629731595516205
0.80094,0.76471,0.79873,0.78135,0.88244,0.4290675139602493,14.588295474648476,0.66225,0.59813,0.88889,0.71508,0.78472,0.726280415058136,3.63140207529068,0.61258,0.56881,0.84354,0.67945,0.65811,0.8556094646453858,8.556094646453857
0.82642,0.78685,0.83686,0.81109,0.89761,0.40170202667222304,13.657868906855583,0.50331,0.36364,0.05556,0.09639,0.718,1.7245569229125977,8.622784614562988,0.54636,0.72727,0.10884,0.18935,0.64661,1.5509282529354096,15.509282529354095
0.81981,0.79579,0.80085,0.79831,0.89819,0.40343092425781135,13.716651424765587,0.66887,0.60577,0.875,0.71591,0.73822,0.7360969662666321,3.6804848313331604,0.62583,0.57522,0.88435,0.69705,0.64911,0.8804214477539063,8.804214477539062
0.81887,0.7834,0.81992,0.80124,0.90374,0.39541155844926834,13.443992987275124,0.68212,0.7,0.58333,0.63636,0.77496,0.7970856428146362,3.985428214073181,0.56954,0.61972,0.29932,0.40367,0.65543,0.8990543603897094,8.990543603897095
0.8,0.76749,0.79025,0.77871,0.88249,0.43774785802644844,14.883427172899246,0.70861,0.74138,0.59722,0.66154,0.74877,0.7225663542747498,3.612831771373749,0.62583,0.63281,0.55102,0.58909,0.67149,0.8080614805221558,8.080614805221558
0.79434,0.754,0.79873,0.77572,0.8887,0.41965608298778534,14.268306821584702,0.53642,0.57143,0.11111,0.18605,0.71238,1.33147075176239,6.657353758811951,0.57947,0.66129,0.27891,0.39234,0.69669,1.0614692330360413,10.614692330360413
0.84717,0.82158,0.83898,0.83019,0.91496,0.37920521813280444,12.89297741651535,0.64238,0.70455,0.43056,0.53448,0.73611,0.9354126334190369,4.677063167095184,0.5894,0.65333,0.33333,0.44144,0.69296,1.0935469329357148,10.935469329357147
0.85283,0.82377,0.85169,0.8375,0.92102,0.3647020406582776,12.39986938238144,0.66887,0.625,0.76389,0.6875,0.70675,0.7786911845207214,3.893455922603607,0.56954,0.55862,0.55102,0.55479,0.6226,0.8821048557758331,8.821048557758331
0.83019,0.80802,0.81144,0.80973,0.91698,0.36414409735623526,12.380899310112,0.64238,0.58182,0.88889,0.7033,0.75932,0.7766620635986328,3.883310317993164,0.60927,0.56332,0.87755,0.68617,0.70858,0.9523658335208893,9.523658335208893
0.83302,0.80164,0.83051,0.81582,0.90942,0.39166687648085985,13.316673800349236,0.6755,0.68254,0.59722,0.63704,0.75897,0.7003114700317383,3.5015573501586914,0.63245,0.61842,0.63946,0.62876,0.6571,0.8763407051563263,8.763407051563263
0.84434,0.8218,0.83051,0.82613,0.9236,0.3680621210266562,12.514112114906311,0.59603,0.54545,0.91667,0.68394,0.70517,1.0474066734313965,5.237033367156982,0.63245,0.57563,0.93197,0.71169,0.72715,0.8026874482631683,8.026874482631683
0.85472,0.83125,0.84534,0.83824,0.92787,0.35919131908346624,12.212504848837852,0.62914,0.61111,0.61111,0.61111,0.7122,0.8575170755386352,4.287585377693176,0.61921,0.63115,0.52381,0.57249,0.68119,0.9053867906332016,9.053867906332016
0.83491,0.82927,0.79237,0.8104,0.91454,0.37226876528824077,12.657138019800186,0.72848,0.71233,0.72222,0.71724,0.7347,0.7668766260147095,3.8343831300735474,0.69868,0.69444,0.68027,0.68729,0.74979,0.6567226678133011,6.567226678133011
0.85377,0.82816,0.84746,0.8377,0.92685,0.3412654053638963,11.603023782372475,0.58278,0.54128,0.81944,0.65193,0.66596,1.0478569865226746,5.239284932613373,0.54636,0.52427,0.73469,0.6119,0.5828,0.9537634789943695,9.537634789943695
0.85,0.83369,0.82839,0.83103,0.92531,0.342273575199001,11.637301556766033,0.68212,0.73077,0.52778,0.6129,0.74657,0.8008987903594971,4.004493951797485,0.6755,0.68421,0.61905,0.65,0.75677,0.671350035071373,6.71350035071373
0.84623,0.81725,0.84322,0.83003,0.92945,0.3409828390268719,11.593416526913643,0.5894,0.6,0.41667,0.4918,0.62922,1.0307753205299377,5.153876602649689,0.65563,0.65693,0.61224,0.6338,0.71464,0.7084719359874725,7.084719359874725
