train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
1.0,1.0,1.0,1.0,1.0,2.1658663234984356e-12,3.725290076417309e-09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721492,,False,11,1b2ef0be,2024-05-14_23-18-12,114.06773090362549,1320.5722048282623,32628,AT-MB-PC-E13,127.0.0.1,1320.5722048282623,11,256,3,0.001
1.0,1.0,1.0,1.0,1.0,2.1658663234984356e-12,3.725290076417309e-09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721607,,False,12,1b2ef0be,2024-05-14_23-20-07,114.321941614151,1434.8941464424133,32628,AT-MB-PC-E13,127.0.0.1,1434.8941464424133,12,256,3,0.001
1.0,1.0,1.0,1.0,1.0,2.1658663234984356e-12,3.725290076417309e-09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721722,,False,13,1b2ef0be,2024-05-14_23-22-02,115.60277915000916,1550.4969255924225,32628,AT-MB-PC-E13,127.0.0.1,1550.4969255924225,13,256,3,0.001
1.0,1.0,1.0,1.0,1.0,2.1658663234984356e-12,3.725290076417309e-09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721836,,False,14,1b2ef0be,2024-05-14_23-23-56,113.39990139007568,1663.8968269824982,32628,AT-MB-PC-E13,127.0.0.1,1663.8968269824982,14,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721950,,False,15,1b2ef0be,2024-05-14_23-25-50,114.43991374969482,1778.336740732193,32628,AT-MB-PC-E13,127.0.0.1,1778.336740732193,15,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722065,,False,16,1b2ef0be,2024-05-14_23-27-45,114.69663405418396,1893.033374786377,32628,AT-MB-PC-E13,127.0.0.1,1893.033374786377,16,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722179,,False,17,1b2ef0be,2024-05-14_23-29-39,114.52606558799744,2007.5594403743744,32628,AT-MB-PC-E13,127.0.0.1,2007.5594403743744,17,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722293,,False,18,1b2ef0be,2024-05-14_23-31-33,113.48338174819946,2121.042822122574,32628,AT-MB-PC-E13,127.0.0.1,2121.042822122574,18,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722407,,False,19,1b2ef0be,2024-05-14_23-33-27,114.45807647705078,2235.5008985996246,32628,AT-MB-PC-E13,127.0.0.1,2235.5008985996246,19,256,3,0.001
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715722523,,False,20,1b2ef0be,2024-05-14_23-35-23,115.37495541572571,2350.8758540153503,32628,AT-MB-PC-E13,127.0.0.1,2350.8758540153503,20,256,3,0.001
