train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.96,0.74,0.95,0.11795938968220178,20.053096245974302,0.07,0.94,0.45,0.82,0.21060478448867798,5.2651196122169495,1712182089,,True,100,1eb2e625,2024-04-04_00-08-09,164.23368883132935,26636.18296122551,31940,AT-MB-PC-EOS,127.0.0.1,26636.18296122551,100,256,10,0.2,0.001,1eb2e625
0.08,0.94,0.51,0.87,0.17162219597136272,29.175773315131664,0.07,0.94,0.4,0.81,0.19835166931152343,4.958791732788086,1712169360,,True,45,3cb5720b,2024-04-03_20-36-00,288.83334279060364,13550.628729343414,8776,AT-MB-PC-EOS,127.0.0.1,13550.628729343414,45,256,10,0.2,0.001,3cb5720b
0.08,0.93,0.34,0.79,0.2086064586744589,35.46309797465801,0.07,0.93,0.31,0.76,0.21514386653900147,5.378596663475037,1712164724,,True,15,85577361,2024-04-03_19-18-44,498.0953257083893,4720.951720237732,17372,AT-MB-PC-EOS,127.0.0.1,4720.951720237732,15,256,10,0.2,0.001,85577361
0.08,0.92,0.16,0.65,0.26654013272594,45.311822563409805,0.07,0.93,0.1,0.47,0.502588404417038,12.564710110425949,1712161893,,True,5,b0f8f0ca,2024-04-03_18-31-33,278.6120648384094,1433.7440121173859,18224,AT-MB-PC-EOS,127.0.0.1,1433.7440121173859,5,256,10,0.5,0.001,b0f8f0ca
0.08,0.93,0.34,0.79,0.20903326360618366,35.535654813051224,0.07,0.93,0.32,0.75,0.21341096520423888,5.335274130105972,1712167194,,True,15,32fdb9dd,2024-04-03_19-59-54,476.28528785705566,5293.47644162178,30524,AT-MB-PC-EOS,127.0.0.1,5293.47644162178,15,256,10,0.2,0.001,32fdb9dd
0.08,0.92,0.17,0.65,0.26401865114183987,44.88317069411278,0.07,0.9,0.18,0.62,0.3007908004522324,7.519770011305809,1712165622,,True,5,dafce1a9,2024-04-03_19-33-42,172.52084469795227,888.9324116706848,7672,AT-MB-PC-EOS,127.0.0.1,888.9324116706848,5,256,6,0.5,0.001,dafce1a9
0.08,0.92,0.16,0.64,0.2702444526202538,45.94155694544315,0.07,0.93,0.13,0.53,0.5208123999834061,13.020309999585152,1712167429,,True,5,c141466a,2024-04-03_20-03-49,290.1219208240509,1799.9352633953094,34372,AT-MB-PC-EOS,127.0.0.1,1799.9352633953094,5,256,10,0.5,0.001,c141466a
0.08,0.93,0.28,0.76,0.2197356163578875,37.355054780840874,0.07,0.93,0.3,0.74,0.22857077300548553,5.714269325137138,1712169869,,True,15,54a95c81,2024-04-03_20-44-29,169.0837562084198,2666.9222309589386,37000,AT-MB-PC-EOS,127.0.0.1,2666.9222309589386,15,256,6,0.5,0.001,54a95c81
0.08,0.93,0.34,0.79,0.2097733811420553,35.6614747941494,0.07,0.93,0.28,0.73,0.23255276203155517,5.813819050788879,1712171459,,True,15,8987b813,2024-04-03_21-10-59,274.33041977882385,4174.598122835159,2260,AT-MB-PC-EOS,127.0.0.1,4174.598122835159,15,256,10,0.2,0.001,8987b813
0.08,0.92,0.18,0.65,0.2663473838392426,45.27905525267124,0.07,0.92,0.19,0.59,0.2932890063524246,7.3322251588106155,1712168331,,True,5,28af84d9,2024-04-03_20-18-51,180.374897480011,893.998786687851,2208,AT-MB-PC-EOS,127.0.0.1,893.998786687851,5,256,6,0.5,0.001,28af84d9
