train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.27000001072883606,0.84,0.92,0.14000000059604645,0.3799999952316284,0.27138042005876833,409.78443428874016,0.30000001192092896,0.78,0.91,0.20000000298023224,0.44999998807907104,0.89,0.91,0.93,0.94,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.99,0.30313868471133854,98.2169338464737,0.30000001192092896,0.79,0.91,0.18000000715255737,0.4300000071525574,0.88,0.9,0.92,0.93,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.29593676011319514,95.88351027667522,1713274145,,False,32,2c7942e7,2024-04-16_15-29-05,284.71588921546936,8980.439726114273,37676,AT-MB-PC-E13,127.0.0.1,8980.439726114273,32,128,0.0,6,0.001
0.27000001072883606,0.84,0.92,0.14000000059604645,0.3700000047683716,0.2677461004316412,404.2966116517782,0.2800000011920929,0.82,0.92,0.17000000178813934,0.4099999964237213,0.89,0.92,0.93,0.95,0.95,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.27943076460081856,90.5355677306652,0.27000001072883606,0.82,0.91,0.1599999964237213,0.38999998569488525,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2732909290051019,88.54626099765301,1713274435,,False,33,2c7942e7,2024-04-16_15-33-55,289.7975859642029,9270.237312078476,37676,AT-MB-PC-E13,127.0.0.1,9270.237312078476,33,128,0.0,6,0.001
0.27000001072883606,0.84,0.92,0.14000000059604645,0.3700000047683716,0.26585534424181806,401.44156980514526,0.30000001192092896,0.8,0.91,0.18000000715255737,0.41999998688697815,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2965252994111291,96.07419700920582,0.28999999165534973,0.8,0.91,0.17000000178813934,0.4099999964237213,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,1.0,0.99,0.99,0.99,0.99,0.99,0.29273778195550415,94.84704135358334,1713274726,,False,34,2c7942e7,2024-04-16_15-38-46,291.0201737880707,9561.257485866547,37676,AT-MB-PC-E13,127.0.0.1,9561.257485866547,34,128,0.0,6,0.001
0.27000001072883606,0.85,0.92,0.14000000059604645,0.3700000047683716,0.26619961428523853,401.9614175707102,0.28999999165534973,0.81,0.91,0.17000000178813934,0.4099999964237213,0.88,0.9,0.92,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.28794343254448457,93.293672144413,0.2800000011920929,0.82,0.91,0.1599999964237213,0.38999998569488525,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.28120672132497954,91.11097770929337,1713275012,,False,35,2c7942e7,2024-04-16_15-43-32,285.54323506355286,9846.8007209301,37676,AT-MB-PC-E13,127.0.0.1,9846.8007209301,35,128,0.0,6,0.001
0.25999999046325684,0.86,0.93,0.12999999523162842,0.36000001430511475,0.25909978133558437,391.2406698167324,0.2800000011920929,0.82,0.91,0.17000000178813934,0.4099999964237213,0.89,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0,0.99,1.0,1.0,0.2848510436345766,92.2917381376028,0.2800000011920929,0.82,0.91,0.1599999964237213,0.4000000059604645,0.88,0.9,0.92,0.93,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.28272404875836255,91.60259179770947,1713275295,,False,36,2c7942e7,2024-04-16_15-48-15,283.3894965648651,10130.190217494965,37676,AT-MB-PC-E13,127.0.0.1,10130.190217494965,36,128,0.0,6,0.001
0.25999999046325684,0.86,0.93,0.12999999523162842,0.36000001430511475,0.2561778293737513,386.8285223543644,0.27000001072883606,0.82,0.92,0.1599999964237213,0.4000000059604645,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0,0.99,1.0,1.0,1.0,0.27410868684082856,88.81121453642845,0.27000001072883606,0.82,0.91,0.15000000596046448,0.38999998569488525,0.89,0.92,0.93,0.94,0.96,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2702286973779584,87.55409795045853,1713275578,,False,37,2c7942e7,2024-04-16_15-52-58,282.9532768726349,10413.1434943676,37676,AT-MB-PC-E13,127.0.0.1,10413.1434943676,37,128,0.0,6,0.001
0.25,0.86,0.93,0.12999999523162842,0.3499999940395355,0.2549904739521197,385.03561566770077,0.2800000011920929,0.82,0.91,0.17000000178813934,0.4099999964237213,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2775218109657735,89.91706675291061,0.27000001072883606,0.82,0.91,0.15000000596046448,0.38999998569488525,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,1.0,0.26939813043048355,87.28499425947666,1713275862,,False,38,2c7942e7,2024-04-16_15-57-42,283.96434330940247,10697.107837677002,37676,AT-MB-PC-E13,127.0.0.1,10697.107837677002,38,128,0.0,6,0.001
0.25,0.86,0.93,0.11999999731779099,0.3499999940395355,0.2511166781384424,379.186183989048,0.2800000011920929,0.82,0.92,0.17000000178813934,0.4099999964237213,0.9,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.2796462776576295,90.60539396107197,0.27000001072883606,0.82,0.91,0.1599999964237213,0.4000000059604645,0.89,0.91,0.93,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.27336884579724735,88.57150603830814,1713276146,,False,39,2c7942e7,2024-04-16_16-02-26,284.23213362693787,10981.33997130394,37676,AT-MB-PC-E13,127.0.0.1,10981.33997130394,39,128,0.0,6,0.001
0.25,0.86,0.93,0.11999999731779099,0.3499999940395355,0.24987465628725014,377.3107309937477,0.2800000011920929,0.82,0.92,0.1599999964237213,0.4000000059604645,0.9,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.2794190425839689,90.53176979720592,0.27000001072883606,0.82,0.92,0.15000000596046448,0.38999998569488525,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2746442624448258,88.98474103212357,1713276432,,False,40,2c7942e7,2024-04-16_16-07-12,285.640052318573,11266.980023622513,37676,AT-MB-PC-E13,127.0.0.1,11266.980023622513,40,128,0.0,6,0.001
0.23999999463558197,0.87,0.94,0.11999999731779099,0.3400000035762787,0.24459880924974844,369.34420196712017,0.30000001192092896,0.8,0.91,0.18000000715255737,0.41999998688697815,0.89,0.91,0.92,0.93,0.94,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.3045200525702518,98.66449703276157,0.30000001192092896,0.8,0.91,0.17000000178813934,0.4099999964237213,0.89,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.30041829869151115,97.33552877604961,1713276713,,False,41,2c7942e7,2024-04-16_16-11-53,280.9520981311798,11547.932121753693,37676,AT-MB-PC-E13,127.0.0.1,11547.932121753693,41,128,0.0,6,0.001
0.23999999463558197,0.87,0.94,0.10999999940395355,0.3400000035762787,0.24337794290275763,367.500693783164,0.28999999165534973,0.81,0.92,0.18000000715255737,0.41999998688697815,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.28737701038703506,93.11015136539936,0.2800000011920929,0.81,0.91,0.17000000178813934,0.4099999964237213,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2816892023899673,91.2673015743494,1713276993,,False,42,2c7942e7,2024-04-16_16-16-33,279.96378087997437,11827.895902633667,37676,AT-MB-PC-E13,127.0.0.1,11827.895902633667,42,128,0.0,6,0.001
0.23999999463558197,0.88,0.94,0.10999999940395355,0.33000001311302185,0.24069795549310596,363.45391279459,0.27000001072883606,0.82,0.92,0.1599999964237213,0.4000000059604645,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.2747743482483022,89.02688883244991,0.27000001072883606,0.82,0.91,0.1599999964237213,0.38999998569488525,0.89,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,1.0,0.2698397171902068,87.428068369627,1713277263,,False,43,2c7942e7,2024-04-16_16-21-03,270.5844917297363,12098.480394363403,37676,AT-MB-PC-E13,127.0.0.1,12098.480394363403,43,128,0.0,6,0.001
0.23999999463558197,0.88,0.94,0.10999999940395355,0.33000001311302185,0.2355489149887041,355.67886163294315,0.2800000011920929,0.82,0.91,0.1599999964237213,0.4099999964237213,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2785178797756448,90.23979304730892,0.27000001072883606,0.82,0.91,0.15000000596046448,0.38999998569488525,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2714922004091887,87.96347293257713,1713277543,,False,44,2c7942e7,2024-04-16_16-25-43,279.17065691947937,12377.651051282883,37676,AT-MB-PC-E13,127.0.0.1,12377.651051282883,44,128,0.0,6,0.001
0.23999999463558197,0.88,0.94,0.10999999940395355,0.33000001311302185,0.23601150744600802,356.3773762434721,0.2800000011920929,0.82,0.91,0.17000000178813934,0.4099999964237213,0.88,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.27598528577773657,89.41923259198666,0.27000001072883606,0.82,0.91,0.15000000596046448,0.38999998569488525,0.89,0.91,0.93,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.26748308769346757,86.66452041268349,1713277820,,False,45,2c7942e7,2024-04-16_16-30-20,277.46298122406006,12655.114032506943,37676,AT-MB-PC-E13,127.0.0.1,12655.114032506943,45,128,0.0,6,0.001
0.23000000417232513,0.88,0.94,0.10000000149011612,0.3199999928474426,0.23405015680272848,353.41573677212,0.28999999165534973,0.8,0.92,0.18000000715255737,0.41999998688697815,0.89,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.29476034710252724,95.50235246121883,0.28999999165534973,0.8,0.91,0.17000000178813934,0.4099999964237213,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.29123603405407916,94.36047503352165,1713278100,,False,46,2c7942e7,2024-04-16_16-35-00,280.3463890552521,12935.460421562195,37676,AT-MB-PC-E13,127.0.0.1,12935.460421562195,46,128,0.0,6,0.001
0.23000000417232513,0.89,0.94,0.10000000149011612,0.3199999928474426,0.22868592649303524,345.3157490044832,0.30000001192092896,0.81,0.91,0.18000000715255737,0.41999998688697815,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2951142798051422,95.61702665686607,0.28999999165534973,0.81,0.91,0.1599999964237213,0.4000000059604645,0.89,0.92,0.93,0.95,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0,0.99,1.0,1.0,0.2908690851871614,94.2415836006403,1713278380,,False,47,2c7942e7,2024-04-16_16-39-40,279.5413556098938,13215.001777172089,37676,AT-MB-PC-E13,127.0.0.1,13215.001777172089,47,128,0.0,6,0.001
0.23000000417232513,0.89,0.94,0.10000000149011612,0.3100000023841858,0.22749230869065057,343.51338612288237,0.27000001072883606,0.83,0.92,0.1599999964237213,0.4000000059604645,0.9,0.92,0.93,0.94,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.2748476501876189,89.05063866078854,0.27000001072883606,0.82,0.92,0.15000000596046448,0.38999998569488525,0.9,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.26906695069722186,87.17769202589989,1713278659,,False,48,2c7942e7,2024-04-16_16-44-19,278.70335721969604,13493.705134391785,37676,AT-MB-PC-E13,127.0.0.1,13493.705134391785,48,128,0.0,6,0.001
0.23000000417232513,0.89,0.95,0.10000000149011612,0.3100000023841858,0.22637948216685397,341.8330180719495,0.28999999165534973,0.8,0.92,0.18000000715255737,0.41999998688697815,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.29146109912314533,94.43339611589909,0.2800000011920929,0.81,0.91,0.17000000178813934,0.4099999964237213,0.89,0.9,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.28391713244311606,91.9891509115696,1713278927,,False,49,2c7942e7,2024-04-16_16-48-47,268.6033673286438,13762.308501720428,37676,AT-MB-PC-E13,127.0.0.1,13762.308501720428,49,128,0.0,6,0.001
0.2199999988079071,0.9,0.95,0.09000000357627869,0.30000001192092896,0.21988625334489426,332.0282425507903,0.27000001072883606,0.82,0.92,0.17000000178813934,0.4099999964237213,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.2745325227762446,88.94853737950325,0.27000001072883606,0.83,0.92,0.15000000596046448,0.38999998569488525,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,0.26624191524805846,86.26238054037094,1713279210,,False,50,2c7942e7,2024-04-16_16-53-30,282.33896231651306,14044.647464036942,37676,AT-MB-PC-E13,127.0.0.1,14044.647464036942,50,128,0.0,6,0.001
