train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
0.30538,0.79862,0.90143,0.17876,0.4228,0.3053834910325657,461.12907145917416,0.2885,0.81094,0.91133,0.17313,0.41609,0.88659,0.9042,0.9217,0.93259,0.94785,0.95696,0.96576,0.97189,0.9771,0.97883,0.98215,0.98479,0.98683,0.98773,0.99098,0.99069,0.99204,0.9929,0.99306,0.99189,0.28842767668359076,93.4505672454834,0.28363,0.81219,0.90741,0.16218,0.40271,0.88851,0.90653,0.92231,0.93443,0.94832,0.95899,0.96801,0.97544,0.978,0.98293,0.98479,0.98566,0.98494,0.98585,0.98766,0.98837,0.98764,0.98909,0.98995,0.98968,0.2836720009368879,91.90972830355167
0.30015,0.80512,0.90438,0.173,0.41593,0.3001509884631397,453.22799257934093,0.30395,0.79689,0.91018,0.18599,0.43127,0.88149,0.90165,0.9212,0.93697,0.94839,0.96144,0.96736,0.97379,0.97778,0.9822,0.98457,0.98564,0.98578,0.98823,0.98953,0.98818,0.99014,0.98991,0.99054,0.99168,0.3040832019882438,98.52295744419098,0.30282,0.79768,0.9055,0.17471,0.41799,0.88895,0.90967,0.92777,0.94049,0.95052,0.96011,0.96993,0.97381,0.97983,0.98482,0.98627,0.98719,0.98899,0.98756,0.98793,0.98855,0.98694,0.98827,0.9865,0.9887,0.3027671594402672,98.09655965864658
0.29364,0.81379,0.90897,0.16526,0.40652,0.2936430671455844,443.4010313898325,0.30458,0.79047,0.90566,0.19187,0.43803,0.8888,0.90574,0.92088,0.93457,0.94762,0.95796,0.96362,0.96945,0.97556,0.9784,0.98073,0.98356,0.985,0.98681,0.98798,0.98948,0.99179,0.99159,0.99167,0.99174,0.3046360580641546,98.7020828127861,0.302,0.79032,0.90253,0.18107,0.42552,0.87714,0.89679,0.91946,0.93322,0.94546,0.95561,0.96035,0.96552,0.97148,0.97604,0.97864,0.98223,0.98312,0.98384,0.98836,0.98832,0.99239,0.99351,0.99245,0.99415,0.30196108636848723,97.83539198338985
0.29173,0.81402,0.90912,0.16511,0.40634,0.2917321596319312,440.51556104421616,0.29262,0.80654,0.90934,0.17716,0.4209,0.88694,0.90348,0.9194,0.93191,0.94417,0.95631,0.9637,0.96875,0.97301,0.97643,0.98263,0.98698,0.98708,0.98731,0.98979,0.99002,0.98873,0.98808,0.99203,0.99083,0.29254389522068297,94.78422205150127,0.28547,0.81147,0.90718,0.16281,0.40349,0.87937,0.90126,0.91763,0.93286,0.94521,0.95452,0.96132,0.96746,0.97155,0.97482,0.97711,0.97999,0.98511,0.98653,0.9884,0.98864,0.98888,0.988,0.99097,0.99102,0.2854807724095421,92.49577026069164
0.28736,0.82007,0.91172,0.1597,0.39962,0.2873588297738145,433.91183295845985,0.28438,0.81249,0.91239,0.17171,0.41438,0.89461,0.91328,0.92869,0.94087,0.9518,0.95959,0.9671,0.9713,0.97562,0.97908,0.98352,0.98556,0.98891,0.99256,0.99449,0.99455,0.99467,0.99493,0.99764,0.99725,0.2842963956480409,92.11203218996525,0.27846,0.81558,0.90849,0.15925,0.39906,0.89169,0.90951,0.9255,0.94239,0.95408,0.96291,0.97045,0.97465,0.98025,0.98358,0.98711,0.98892,0.98971,0.98987,0.99071,0.99109,0.98989,0.98952,0.99043,0.9904,0.27842689645879065,90.21031445264816
0.28258,0.82528,0.91493,0.15505,0.39377,0.28257679334342084,426.6909579485655,0.28833,0.80905,0.91237,0.17486,0.41816,0.88798,0.90688,0.92527,0.94171,0.95281,0.96136,0.96682,0.97285,0.97745,0.98255,0.98614,0.98963,0.98955,0.99252,0.99302,0.99379,0.99645,0.99691,0.99647,0.99598,0.28839514901240665,93.44002828001976,0.28271,0.81047,0.90936,0.16367,0.40456,0.88548,0.90779,0.92681,0.9403,0.95338,0.96349,0.96873,0.9736,0.97807,0.98257,0.98468,0.98656,0.98853,0.99032,0.98967,0.98998,0.99059,0.99033,0.99144,0.993,0.2826309886611538,91.57244032621384
0.28422,0.82453,0.91366,0.15575,0.39465,0.28421652397967334,429.1669512093067,0.28415,0.82166,0.91511,0.16331,0.40411,0.88714,0.90218,0.91808,0.93217,0.9438,0.95361,0.96316,0.97297,0.97908,0.98297,0.98441,0.9886,0.98951,0.9925,0.99297,0.99603,0.99636,0.99897,1.0,1.0,0.2841235513764399,92.05603064596653,0.27927,0.81445,0.9113,0.16023,0.40029,0.88865,0.90871,0.92462,0.94103,0.95236,0.96521,0.97156,0.97652,0.97952,0.98119,0.98319,0.98429,0.98598,0.9854,0.98418,0.98387,0.9846,0.98457,0.98418,0.98295,0.27940160082078275,90.52611866593361
0.27762,0.83077,0.91741,0.15025,0.38762,0.2776150689022431,419.198754042387,0.30215,0.80554,0.91604,0.17808,0.42199,0.88756,0.90844,0.9269,0.94224,0.95346,0.96433,0.97174,0.97703,0.98151,0.98466,0.9867,0.98752,0.98885,0.99064,0.99159,0.99208,0.99291,0.9929,0.99303,0.99464,0.3022861553379047,97.94071432948112,0.30033,0.80109,0.9102,0.17177,0.41445,0.88796,0.90785,0.92351,0.93794,0.9499,0.95725,0.96761,0.97333,0.97785,0.98146,0.98454,0.98714,0.98846,0.99031,0.99127,0.9918,0.99257,0.99265,0.99154,0.993,0.3003477027846707,97.31265570223331
0.27512,0.83574,0.91885,0.14578,0.38181,0.27511809554123723,415.4283242672682,0.28078,0.81743,0.91473,0.16719,0.40888,0.88565,0.90335,0.92252,0.93644,0.95208,0.96176,0.96791,0.97299,0.97769,0.9826,0.98687,0.98985,0.98963,0.99205,0.99104,0.99376,0.99376,0.99284,0.99305,0.99468,0.28081546581269784,90.9842109233141,0.27541,0.81774,0.91088,0.15739,0.39672,0.88379,0.90368,0.92575,0.93885,0.95315,0.96261,0.97151,0.97435,0.97769,0.9804,0.98415,0.98697,0.98652,0.98666,0.98858,0.98807,0.98985,0.98941,0.98913,0.99013,0.27533581894305015,89.20880533754826
0.27488,0.83758,0.91948,0.14418,0.37971,0.2748819068468959,415.0716793388128,0.27804,0.81803,0.91557,0.16663,0.40821,0.88643,0.90928,0.92802,0.93821,0.95185,0.95863,0.96651,0.97179,0.97717,0.98044,0.98483,0.98894,0.99052,0.99186,0.99364,0.99599,0.99823,0.99798,0.99884,0.99866,0.27790731219229875,90.0419691503048,0.2732,0.81997,0.9126,0.15546,0.39429,0.88975,0.91135,0.92831,0.94099,0.95162,0.96079,0.96935,0.9766,0.97988,0.98395,0.98579,0.98815,0.98949,0.98933,0.98921,0.99021,0.99255,0.99149,0.99018,0.98851,0.27323649170590036,88.52862331271172
