train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.08,0.94,0.46,0.85,0.18339657765977524,31.17741820216179,0.07,0.93,0.38,0.81,0.20109888702630996,5.027472175657749,0.08,0.93,0.43,0.8,0.21232916870895696,10.404129266738892,1713087768,,False,26,3a9f6903,2024-04-14_11-42-48,99.40267372131348,2589.959419965744,22956,AT-MB-PC-EOS,127.0.0.1,2589.959419965744,26,128,0.0,6,0.001
0.08,0.94,0.46,0.85,0.18264155777938226,31.049064822494984,0.07,0.93,0.38,0.79,0.20896938025951386,5.224234506487846,0.08,0.93,0.42,0.79,0.21830215517963683,10.696805603802204,1713087867,,False,27,3a9f6903,2024-04-14_11-44-27,99.56741666793823,2689.5268366336823,22956,AT-MB-PC-EOS,127.0.0.1,2689.5268366336823,27,128,0.0,6,0.001
0.08,0.94,0.49,0.86,0.1785880622180069,30.359970577061176,0.07,0.93,0.37,0.81,0.20904650151729584,5.226162537932396,0.08,0.92,0.43,0.81,0.21216960327357662,10.396310560405254,1713087966,,False,28,3a9f6903,2024-04-14_11-46-06,99.3525562286377,2788.87939286232,22956,AT-MB-PC-EOS,127.0.0.1,2788.87939286232,28,128,0.0,6,0.001
0.08,0.94,0.48,0.86,0.17647710201494834,30.001107342541218,0.07,0.93,0.36,0.78,0.20194759398698806,5.048689849674702,0.08,0.93,0.41,0.79,0.21242284196980146,10.408719256520271,1713088066,,False,29,3a9f6903,2024-04-14_11-47-46,99.27192711830139,2888.1513199806213,22956,AT-MB-PC-EOS,127.0.0.1,2888.1513199806213,29,128,0.0,6,0.001
0.08,0.94,0.5,0.87,0.1757710906512597,29.88108541071415,0.07,0.92,0.3,0.75,0.24451982766389846,6.112995691597462,0.08,0.92,0.32,0.74,0.2536732676077862,12.429990112781525,1713088165,,False,30,3a9f6903,2024-04-14_11-49-25,99.29633283615112,2987.4476528167725,22956,AT-MB-PC-EOS,127.0.0.1,2987.4476528167725,30,128,0.0,6,0.001
0.08,0.93,0.43,0.85,0.18789167952011612,31.941585518419743,0.07,0.93,0.34,0.78,0.21167102843523025,5.291775710880756,0.08,0.93,0.41,0.79,0.22125733871849215,10.841609597206116,1713088264,,False,31,3a9f6903,2024-04-14_11-51-04,99.08178448677063,3086.529437303543,22956,AT-MB-PC-EOS,127.0.0.1,3086.529437303543,31,128,0.0,6,0.001
0.08,0.94,0.48,0.86,0.17722330189803068,30.127961322665215,0.07,0.93,0.39,0.8,0.20708704680204393,5.177176170051098,0.08,0.93,0.45,0.82,0.206095353225056,10.098672308027744,1713088364,,False,32,3a9f6903,2024-04-14_11-52-44,99.45560669898987,3185.985044002533,22956,AT-MB-PC-EOS,127.0.0.1,3185.985044002533,32,128,0.0,6,0.001
0.08,0.94,0.5,0.87,0.17457499201683438,29.677748642861843,0.07,0.93,0.38,0.8,0.2129703366756439,5.324258416891098,0.08,0.93,0.39,0.77,0.24021807054475863,11.770685456693172,1713088463,,False,33,3a9f6903,2024-04-14_11-54-23,99.24585962295532,3285.2309036254883,22956,AT-MB-PC-EOS,127.0.0.1,3285.2309036254883,33,128,0.0,6,0.001
0.08,0.94,0.5,0.87,0.17408434586489901,29.594338797032833,0.07,0.93,0.37,0.79,0.20626464813947679,5.156616203486919,0.08,0.93,0.43,0.81,0.20938617143095756,10.25992240011692,1713088562,,False,34,3a9f6903,2024-04-14_11-56-02,98.95088863372803,3384.1817922592163,22956,AT-MB-PC-EOS,127.0.0.1,3384.1817922592163,34,128,0.0,6,0.001
0.08,0.94,0.51,0.87,0.17195444155265302,29.232255063951015,0.07,0.93,0.35,0.8,0.2020621716976166,5.051554292440414,0.08,0.93,0.4,0.8,0.21880986328635896,10.72168330103159,1713088662,,False,35,3a9f6903,2024-04-14_11-57-42,99.70896077156067,3483.890753030777,22956,AT-MB-PC-EOS,127.0.0.1,3483.890753030777,35,128,0.0,6,0.001
0.08,0.94,0.53,0.88,0.16787078358671245,28.538033209741116,0.07,0.93,0.38,0.82,0.19332027673721314,4.833006918430328,0.08,0.93,0.44,0.82,0.2019920692760117,9.897611394524574,1713088760,,False,36,3a9f6903,2024-04-14_11-59-20,98.80294132232666,3582.6936943531036,22956,AT-MB-PC-EOS,127.0.0.1,3582.6936943531036,36,128,0.0,6,0.001
0.08,0.94,0.54,0.88,0.1664008126977612,28.288138158619404,0.07,0.94,0.41,0.81,0.1966671848297119,4.916679620742798,0.08,0.93,0.46,0.83,0.1980479464543109,9.704349376261234,1713088860,,False,37,3a9f6903,2024-04-14_12-01-00,99.34117603302002,3682.0348703861237,22956,AT-MB-PC-EOS,127.0.0.1,3682.0348703861237,37,128,0.0,6,0.001
0.08,0.94,0.54,0.88,0.16485351192600586,28.025097027420998,0.07,0.94,0.41,0.82,0.1963725820183754,4.909314550459385,0.08,0.93,0.45,0.82,0.20272498410575243,9.93352422118187,1713088961,,False,38,3a9f6903,2024-04-14_12-02-41,101.4521918296814,3783.487062215805,22956,AT-MB-PC-EOS,127.0.0.1,3783.487062215805,38,128,0.0,6,0.001
0.08,0.94,0.53,0.88,0.16634139414219296,28.278037004172802,0.07,0.94,0.39,0.8,0.2022256523370743,5.055641308426857,0.08,0.93,0.47,0.82,0.20394061460178725,9.993090115487576,1713089059,,False,39,3a9f6903,2024-04-14_12-04-19,97.39497971534729,3880.8820419311523,22956,AT-MB-PC-EOS,127.0.0.1,3880.8820419311523,39,128,0.0,6,0.001
0.08,0.94,0.55,0.89,0.16567242198130663,28.16431173682213,0.07,0.93,0.41,0.82,0.19835044980049132,4.958761245012283,0.08,0.94,0.48,0.84,0.196132486572071,9.610491842031479,1713089156,,False,40,3a9f6903,2024-04-14_12-05-56,97.1192193031311,3978.0012612342834,22956,AT-MB-PC-EOS,127.0.0.1,3978.0012612342834,40,128,0.0,6,0.001
0.08,0.94,0.56,0.89,0.16137851261917283,27.43434714525938,0.07,0.93,0.39,0.8,0.2070550552010536,5.1763763800263405,0.08,0.93,0.45,0.82,0.21073519499326238,10.326024554669857,1713089253,,False,41,3a9f6903,2024-04-14_12-07-33,97.55180358886719,4075.5530648231506,22956,AT-MB-PC-EOS,127.0.0.1,4075.5530648231506,41,128,0.0,6,0.001
0.08,0.94,0.57,0.9,0.1586681996636531,26.973593942821026,0.07,0.94,0.41,0.82,0.19901763707399367,4.975440926849842,0.08,0.93,0.45,0.83,0.20159317340169633,9.87806549668312,1713089351,,False,42,3a9f6903,2024-04-14_12-09-11,97.69116544723511,4173.244230270386,22956,AT-MB-PC-EOS,127.0.0.1,4173.244230270386,42,128,0.0,6,0.001
0.08,0.94,0.58,0.9,0.15734211688532548,26.748159870505333,0.07,0.94,0.41,0.81,0.20172959595918655,5.043239898979664,0.08,0.93,0.45,0.81,0.2073804321033614,10.161641173064709,1713089448,,False,43,3a9f6903,2024-04-14_12-10-48,97.46379208564758,4270.708022356033,22956,AT-MB-PC-EOS,127.0.0.1,4270.708022356033,43,128,0.0,6,0.001
0.08,0.94,0.59,0.9,0.15586697332122745,26.49738546460867,0.07,0.93,0.41,0.82,0.2019709801673889,5.049274504184723,0.08,0.93,0.48,0.84,0.20162520283947186,9.879634939134121,1713089546,,False,44,3a9f6903,2024-04-14_12-12-26,97.31933522224426,4368.027357578278,22956,AT-MB-PC-EOS,127.0.0.1,4368.027357578278,44,128,0.0,6,0.001
0.08,0.94,0.61,0.91,0.15181923767223077,25.809270404279232,0.07,0.94,0.42,0.83,0.20088775902986528,5.022193975746632,0.08,0.94,0.48,0.83,0.20411518702701648,10.001644164323807,1713089643,,False,45,3a9f6903,2024-04-14_12-14-03,97.35274744033813,4465.380105018616,22956,AT-MB-PC-EOS,127.0.0.1,4465.380105018616,45,128,0.0,6,0.001
0.08,0.95,0.62,0.91,0.15007688574054662,25.513070575892925,0.07,0.93,0.41,0.82,0.20528996527194976,5.132249131798744,0.08,0.93,0.46,0.83,0.20323987365985402,9.958753809332848,1713089740,,False,46,3a9f6903,2024-04-14_12-15-40,96.96699857711792,4562.347103595734,22956,AT-MB-PC-EOS,127.0.0.1,4562.347103595734,46,128,0.0,6,0.001
0.08,0.94,0.61,0.91,0.15013272556311943,25.522563345730305,0.07,0.93,0.41,0.83,0.2048531612753868,5.12132903188467,0.08,0.93,0.46,0.83,0.2019736667980953,9.89670967310667,1713089838,,False,47,3a9f6903,2024-04-14_12-17-18,97.81670498847961,4660.163808584213,22956,AT-MB-PC-EOS,127.0.0.1,4660.163808584213,47,128,0.0,6,0.001
0.08,0.94,0.6,0.91,0.14981410183450755,25.468397311866283,0.07,0.94,0.4,0.82,0.19956452310085296,4.989113077521324,0.08,0.93,0.48,0.83,0.1985987695504208,9.73133970797062,1713089935,,False,48,3a9f6903,2024-04-14_12-18-55,97.20957446098328,4757.3733830451965,22956,AT-MB-PC-EOS,127.0.0.1,4757.3733830451965,48,128,0.0,6,0.001
0.08,0.95,0.63,0.92,0.14601823288728208,24.823099590837955,0.07,0.93,0.4,0.82,0.2013126540184021,5.0328163504600525,0.08,0.93,0.48,0.84,0.20026928794627286,9.81319510936737,1713090032,,False,49,3a9f6903,2024-04-14_12-20-32,96.95037031173706,4854.323753356934,22956,AT-MB-PC-EOS,127.0.0.1,4854.323753356934,49,128,0.0,6,0.001
0.08,0.95,0.64,0.92,0.14465712519253002,24.591711282730103,0.07,0.94,0.41,0.83,0.19888755381107331,4.972188845276833,0.08,0.93,0.47,0.83,0.2015879195259542,9.877808056771755,1713090130,,False,50,3a9f6903,2024-04-14_12-22-10,97.82094192504883,4952.144695281982,22956,AT-MB-PC-EOS,127.0.0.1,4952.144695281982,50,128,0.0,6,0.001
0.08,0.95,0.65,0.92,0.14248266474289054,24.22205300629139,0.07,0.93,0.4,0.82,0.20395954668521882,5.09898866713047,0.08,0.93,0.48,0.83,0.2053741242508499,10.063332088291645,1713090227,,False,51,3a9f6903,2024-04-14_12-23-47,97.45305585861206,5049.5977511405945,22956,AT-MB-PC-EOS,127.0.0.1,5049.5977511405945,51,128,0.0,6,0.001
0.08,0.95,0.65,0.92,0.14197212120189387,24.135260604321957,0.07,0.94,0.41,0.81,0.21010181456804275,5.252545364201069,0.08,0.93,0.46,0.82,0.22475596045961185,11.01304206252098,1713090325,,False,52,3a9f6903,2024-04-14_12-25-25,97.45357584953308,5147.051326990128,22956,AT-MB-PC-EOS,127.0.0.1,5147.051326990128,52,128,0.0,6,0.001
0.08,0.95,0.66,0.92,0.13865914116887484,23.572053998708725,0.07,0.93,0.4,0.82,0.20392485618591308,5.098121404647827,0.08,0.94,0.49,0.83,0.20124386296588548,9.860949285328388,1713090423,,False,53,3a9f6903,2024-04-14_12-27-03,98.17125916481018,5245.222586154938,22956,AT-MB-PC-EOS,127.0.0.1,5245.222586154938,53,128,0.0,6,0.001
0.08,0.95,0.67,0.93,0.13622516249032582,23.15827762335539,0.07,0.93,0.38,0.82,0.20909950733184815,5.227487683296204,0.08,0.93,0.45,0.83,0.21182052608655424,10.379205778241158,1713090521,,False,54,3a9f6903,2024-04-14_12-28-41,97.74411988258362,5342.966706037521,22956,AT-MB-PC-EOS,127.0.0.1,5342.966706037521,54,128,0.0,6,0.001
0.08,0.95,0.67,0.93,0.13544381760499058,23.025448992848396,0.07,0.93,0.41,0.83,0.20893726855516434,5.223431713879108,0.08,0.93,0.49,0.83,0.20298321910050451,9.94617773592472,1713090618,,False,55,3a9f6903,2024-04-14_12-30-18,97.65138792991638,5440.618093967438,22956,AT-MB-PC-EOS,127.0.0.1,5440.618093967438,55,128,0.0,6,0.001
0.08,0.95,0.68,0.93,0.13334499141749215,22.668648540973663,0.07,0.93,0.4,0.82,0.20405130684375763,5.101282671093941,0.08,0.93,0.48,0.83,0.2144799639984053,10.50951823592186,1713090716,,False,56,3a9f6903,2024-04-14_12-31-56,97.67455339431763,5538.292647361755,22956,AT-MB-PC-EOS,127.0.0.1,5538.292647361755,56,128,0.0,6,0.001
0.08,0.95,0.69,0.93,0.13098807497059597,22.267972745001316,0.07,0.93,0.4,0.82,0.21264179646968842,5.31604491174221,0.08,0.93,0.49,0.83,0.20889686899525778,10.235946580767632,1713090814,,False,57,3a9f6903,2024-04-14_12-33-34,97.73646521568298,5636.029112577438,22956,AT-MB-PC-EOS,127.0.0.1,5636.029112577438,57,128,0.0,6,0.001
0.08,0.95,0.69,0.94,0.13065641734968214,22.211590949445963,0.07,0.93,0.41,0.83,0.20901404857635497,5.2253512144088745,0.08,0.93,0.49,0.83,0.20518458771462345,10.054044798016548,1713090912,,False,58,3a9f6903,2024-04-14_12-35-12,97.78168034553528,5733.810792922974,22956,AT-MB-PC-EOS,127.0.0.1,5733.810792922974,58,128,0.0,6,0.001
0.08,0.95,0.69,0.94,0.13042434134027536,22.172138027846813,0.07,0.94,0.43,0.82,0.2088775235414505,5.2219380885362625,0.08,0.94,0.5,0.83,0.2069422284863433,10.140169195830822,1713091009,,False,59,3a9f6903,2024-04-14_12-36-49,97.74249768257141,5831.553290605545,22956,AT-MB-PC-EOS,127.0.0.1,5831.553290605545,59,128,0.0,6,0.001
0.08,0.95,0.71,0.94,0.12593110271674746,21.408287461847067,0.07,0.93,0.39,0.82,0.21626566112041473,5.406641528010368,0.08,0.94,0.5,0.83,0.2092521879441884,10.253357209265232,1713091107,,False,60,3a9f6903,2024-04-14_12-38-27,97.8675262928009,5929.420816898346,22956,AT-MB-PC-EOS,127.0.0.1,5929.420816898346,60,128,0.0,6,0.001
0.08,0.95,0.72,0.94,0.12420090152060284,21.114153258502483,0.07,0.93,0.4,0.82,0.22240939050912856,5.560234762728214,0.08,0.93,0.49,0.83,0.21059149108370956,10.318983063101768,1713091205,,False,61,3a9f6903,2024-04-14_12-40-05,98.01929211616516,6027.440109014511,22956,AT-MB-PC-EOS,127.0.0.1,6027.440109014511,61,128,0.0,6,0.001
0.08,0.95,0.72,0.94,0.12359417569549645,21.011009868234396,0.07,0.93,0.4,0.82,0.22318995445966722,5.57974886149168,0.08,0.93,0.5,0.84,0.20503140909939396,10.046539045870304,1713091303,,False,62,3a9f6903,2024-04-14_12-41-43,97.49835562705994,6124.938464641571,22956,AT-MB-PC-EOS,127.0.0.1,6124.938464641571,62,128,0.0,6,0.001
0.08,0.95,0.73,0.95,0.12030602255288292,20.452023833990097,0.07,0.93,0.4,0.82,0.21558997720479967,5.389749430119991,0.08,0.93,0.49,0.84,0.20660478378437003,10.123634405434132,1713091400,,False,63,3a9f6903,2024-04-14_12-43-20,97.35096669197083,6222.289431333542,22956,AT-MB-PC-EOS,127.0.0.1,6222.289431333542,63,128,0.0,6,0.001
